index,image,score,title,star,time
80,http://p0.meituan.net/movie/51/8002255.jpg@160w_220h_1e_1c,9.0,萤火之森,"内山昂辉,佐仓绫音,Hiroki Gotô",2011-09-17(日本)
81,http://p0.meituan.net/movie/__18433373__7708791.jpg@160w_220h_1e_1c,8.9,时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013-09-04(英国)
82,http://p1.meituan.net/movie/28c727b5a79b8bdffe7d98e54a4d512f61385.jpg@160w_220h_1e_1c,8.8,大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",2014-10-24
83,http://p1.meituan.net/movie/__28022955__8810277.jpg@160w_220h_1e_1c,9.1,素媛,"李甄,薛景求,严智媛",2013-10-02(韩国)
84,http://p0.meituan.net/movie/52/6711152.jpg@160w_220h_1e_1c,9.0,穿条纹睡衣的男孩,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",2008-09-12(英国)
85,http://p0.meituan.net/movie/2/6220032.jpg@160w_220h_1e_1c,9.0,窃听风暴,"乌尔里希·穆埃,赛巴斯汀‧柯赫,马蒂娜·戈黛特",2006-03-23(德国)
86,http://p0.meituan.net/movie/49/4069944.jpg@160w_220h_1e_1c,8.8,借东西的小人阿莉埃蒂,"志田未来,神木隆之介,大竹忍",2010-07-17(日本)
87,http://p1.meituan.net/movie/729f8c8d8a5e4036e286a018de70d4ab119653.jpg@160w_220h_1e_1c,8.8,恐怖直播,"河正宇,李璟荣,权慧贞",2013-07-31(韩国)
88,http://p0.meituan.net/movie/90/1810122.jpg@160w_220h_1e_1c,8.9,海豚湾,"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",2009-07-31(美国)
89,http://p1.meituan.net/movie/cf09a7f134015c6429b2329e929d7611150403.jpg@160w_220h_1e_1c,8.9,7号房的礼物,"柳承龙,郑进永,朴信惠",2013-01-23(韩国)
90,http://p0.meituan.net/movie/15/9810061.jpg@160w_220h_1e_1c,9.0,忠犬八公物语,"仲代达矢,春川真澄,井川比佐志",1987-08-01(日本)
91,http://p0.meituan.net/movie/74/8352133.jpg@160w_220h_1e_1c,9.1,小鞋子,"默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",1999-01-22(美国)
92,http://p0.meituan.net/movie/81/7736439.jpg@160w_220h_1e_1c,8.9,上帝之城,"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱昂德罗·弗米诺",2002-08-30(巴西)
93,http://p0.meituan.net/movie/48/6478311.jpg@160w_220h_1e_1c,9.1,七武士,"三船敏郎,志村乔,千秋实",1954-04-26(日本)
94,http://p0.meituan.net/movie/27/8877229.jpg@160w_220h_1e_1c,8.9,一一,"吴念真,金燕玲,李凯莉",2000-09-20(法国)
95,http://p0.meituan.net/movie/86/3880567.jpg@160w_220h_1e_1c,8.9,完美的世界,"凯文·科斯特纳,克林特·伊斯特伍德,T.J.劳瑟",1993-11-24(美国)
96,http://p0.meituan.net/movie/11/391659.jpg@160w_220h_1e_1c,9.0,海洋,"雅克·贝汉,姜文,兰斯洛特·贝汉",2011-08-12
97,http://p0.meituan.net/movie/67/1588237.jpg@160w_220h_1e_1c,9.0,爱·回家,"俞承豪,金艺芬,童孝熙",2002-04-05(韩国)
98,http://p0.meituan.net/movie/17/3203826.jpg@160w_220h_1e_1c,8.9,黄金三镖客,"克林特·伊斯特伍德,李·范·克里夫,伊莱·瓦拉赫",1966-12-23(意大利)
99,http://p0.meituan.net/movie/52/3420293.jpg@160w_220h_1e_1c,9.0,我爱你,"宋在河,李顺才,尹秀晶",2011-02-17(韩国)
100,http://p1.meituan.net/movie/__44335138__8470779.jpg@160w_220h_1e_1c,9.1,迁徙的鸟,"雅克·贝汉,菲利普·拉波洛,Philippe Labro",2001-12-12(法国)
